,state,population,medIncome,medFamInc,perCapInc,NumUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,ViolentCrimesPerPop,CrimeCategory
0,8,0.19,0.37,0.39,0.4,0.08,0.1,0.18,0.48,0.27,0.68,0.2,Low
1,53,0.0,0.31,0.29,0.37,0.01,0.14,0.24,0.3,0.27,0.73,0.67,High
2,24,0.0,0.3,0.28,0.27,0.01,0.27,0.43,0.19,0.36,0.58,0.43,High
3,34,0.04,0.58,0.51,0.36,0.01,0.09,0.25,0.31,0.33,0.71,0.12,Low
4,42,0.01,0.5,0.46,0.43,0.0,0.25,0.3,0.33,0.12,0.65,0.03,Low
5,6,0.02,0.52,0.62,0.72,0.01,0.13,0.12,0.8,0.1,0.65,0.14,Low
6,44,0.01,0.42,0.43,0.47,0.01,0.29,0.41,0.36,0.28,0.54,0.03,Low
7,6,0.01,0.16,0.15,0.1,0.03,0.96,0.82,0.12,1.0,0.26,0.55,High
8,21,0.03,0.17,0.21,0.23,0.04,0.52,0.59,0.17,0.55,0.43,0.53,High
9,29,0.01,0.54,0.85,0.89,0.0,0.04,0.03,1.0,0.11,0.44,0.15,Low
10,6,0.13,0.49,0.47,0.33,0.06,0.33,0.36,0.38,0.32,0.62,0.24,Low
11,36,0.02,0.72,0.8,0.72,0.01,0.18,0.19,0.72,0.18,0.51,0.08,Low
12,25,0.03,0.8,0.82,0.78,0.01,0.07,0.07,0.89,0.24,0.55,0.06,Low
13,55,0.01,0.46,0.47,0.41,0.0,0.2,0.22,0.42,0.13,0.76,0.09,Low
14,6,0.04,0.71,0.7,0.79,0.02,0.11,0.14,0.58,0.19,0.68,0.21,Low
15,19,0.03,0.18,0.21,0.22,0.03,0.3,0.37,0.24,0.32,0.42,0.3,Medium
16,36,0.15,0.22,0.3,0.29,0.15,0.3,0.38,0.47,0.37,0.44,0.49,High
17,34,0.01,0.79,0.75,0.69,0.0,0.1,0.18,0.58,0.11,0.68,0.07,Low
18,18,0.02,0.33,0.41,0.34,0.02,0.16,0.24,0.45,0.19,0.48,0.15,Low
19,42,0.0,0.23,0.24,0.22,0.01,0.27,0.38,0.19,0.72,0.25,0.03,Low
20,6,0.25,0.33,0.32,0.29,0.19,0.34,0.43,0.24,0.59,0.43,0.34,Medium
21,12,1.0,0.28,0.29,0.3,0.76,0.25,0.39,0.28,0.3,0.59,0.69,High
22,41,0.01,0.13,0.17,0.2,0.03,0.31,0.42,0.24,0.63,0.32,0.21,Low
23,19,0.11,0.22,0.25,0.25,0.1,0.29,0.37,0.27,0.33,0.53,0.63,High
24,6,0.02,0.16,0.12,0.08,0.05,1.0,1.0,0.1,1.0,0.22,0.31,Medium
25,8,0.0,0.29,0.32,0.34,0.01,0.11,0.18,0.54,0.3,0.56,0.12,Low
26,6,0.06,0.35,0.34,0.32,0.04,0.35,0.46,0.25,0.35,0.57,0.84,High
27,39,0.01,0.23,0.24,0.23,0.02,0.3,0.45,0.16,0.34,0.37,0.1,Low
28,54,0.01,0.12,0.21,0.25,0.03,0.46,0.49,0.3,0.54,0.13,0.49,High
29,9,0.0,0.6,0.58,0.48,0.0,0.18,0.27,0.44,0.22,0.81,0.02,Low
30,1,0.01,0.16,0.21,0.25,0.02,0.62,0.61,0.26,0.24,0.27,0.16,Low
31,19,0.29,0.25,0.28,0.29,0.22,0.19,0.31,0.29,0.28,0.6,0.19,Low
32,1,0.04,0.02,0.32,0.17,0.11,0.18,0.18,0.82,0.42,0.23,0.15,Low
33,51,0.09,0.2,0.24,0.26,0.09,0.47,0.53,0.34,0.36,0.38,0.31,Medium
34,6,0.03,0.8,0.78,0.8,0.01,0.05,0.05,0.77,0.16,0.81,0.08,Low
35,18,0.19,0.19,0.23,0.25,0.16,0.38,0.48,0.22,0.45,0.43,0.24,Low
36,6,0.03,0.58,0.58,0.46,0.01,0.16,0.25,0.43,0.2,0.59,0.11,Low
37,41,0.01,0.18,0.17,0.14,0.03,0.69,0.64,0.12,0.34,0.19,0.22,Low
38,40,0.02,0.17,0.16,0.18,0.03,0.36,0.42,0.27,0.5,0.45,0.13,Low
39,34,0.01,0.58,0.68,0.78,0.0,0.04,0.03,0.98,0.16,0.98,0.07,Low
40,34,0.01,0.37,0.36,0.31,0.0,0.21,0.44,0.15,0.51,0.35,0.11,Low
41,44,0.06,0.32,0.35,0.32,0.03,0.49,0.58,0.24,0.33,0.49,0.06,Low
