,state,county,community,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
0,8,,,1,0.19,0.33,0.02,0.9,0.12,0.17,0.34,0.47,0.29,0.32,0.2,1.0,0.37,0.72,0.34,0.6,0.29,0.15,0.43,0.39,0.4,0.39,0.32,0.27,0.27,0.36,0.41,0.08,0.19,0.1,0.18,0.48,0.27,0.68,0.23,0.41,0.25,0.52,0.68,0.4,0.75,0.75,0.35,0.55,0.59,0.61,0.56,0.74,0.76,0.04,0.14,0.03,0.24,0.27,0.37,0.39,0.07,0.07,0.08,0.08,0.89,0.06,0.14,0.13,0.33,0.39,0.28,0.55,0.09,0.51,0.5,0.21,0.71,0.52,0.05,0.26,0.65,0.14,0.06,0.22,0.19,0.18,0.36,0.35,0.38,0.34,0.38,0.46,0.25,0.04,0.0,0.12,0.42,0.5,0.51,0.64,0.03,0.13,0.96,0.17,0.06,0.18,0.44,0.13,0.94,0.93,0.03,0.07,0.1,0.07,0.02,0.57,0.29,0.12,0.26,0.2,0.06,0.04,0.9,0.5,0.32,0.14,0.2
1,53,,,1,0.0,0.16,0.12,0.74,0.45,0.07,0.26,0.59,0.35,0.27,0.02,1.0,0.31,0.72,0.11,0.45,0.25,0.29,0.39,0.29,0.37,0.38,0.33,0.16,0.3,0.22,0.35,0.01,0.24,0.14,0.24,0.3,0.27,0.73,0.57,0.15,0.42,0.36,1.0,0.63,0.91,1.0,0.29,0.43,0.47,0.6,0.39,0.46,0.53,0.0,0.24,0.01,0.52,0.62,0.64,0.63,0.25,0.27,0.25,0.23,0.84,0.1,0.16,0.1,0.17,0.29,0.17,0.26,0.2,0.82,0.0,0.02,0.79,0.24,0.02,0.25,0.65,0.16,0.0,0.21,0.2,0.21,0.42,0.38,0.4,0.37,0.29,0.32,0.18,0.0,0.0,0.21,0.5,0.34,0.6,0.52,,,,,,,,,,,,,,,,,,0.02,0.12,0.45,,,,,0.0,,0.67
2,24,,,1,0.0,0.42,0.49,0.56,0.17,0.04,0.39,0.47,0.28,0.32,0.0,0.0,0.3,0.58,0.19,0.39,0.38,0.4,0.84,0.28,0.27,0.29,0.27,0.07,0.29,0.28,0.39,0.01,0.27,0.27,0.43,0.19,0.36,0.58,0.32,0.29,0.49,0.32,0.63,0.41,0.71,0.7,0.45,0.42,0.44,0.43,0.43,0.71,0.67,0.01,0.46,0.0,0.07,0.06,0.15,0.19,0.02,0.02,0.04,0.05,0.88,0.04,0.2,0.2,0.46,0.52,0.43,0.42,0.15,0.51,0.5,0.01,0.86,0.41,0.29,0.3,0.52,0.47,0.45,0.18,0.17,0.16,0.27,0.29,0.27,0.31,0.48,0.39,0.28,0.0,0.0,0.14,0.49,0.54,0.67,0.56,,,,,,,,,,,,,,,,,,0.01,0.21,0.02,,,,,0.0,,0.43
3,34,5,81440,1,0.04,0.77,1.0,0.08,0.12,0.1,0.51,0.5,0.34,0.21,0.06,1.0,0.58,0.89,0.21,0.43,0.36,0.2,0.82,0.51,0.36,0.4,0.39,0.16,0.25,0.36,0.44,0.01,0.1,0.09,0.25,0.31,0.33,0.71,0.36,0.45,0.37,0.39,0.34,0.45,0.49,0.44,0.75,0.65,0.54,0.83,0.65,0.85,0.86,0.03,0.33,0.02,0.11,0.2,0.3,0.31,0.05,0.08,0.11,0.11,0.81,0.08,0.56,0.62,0.85,0.77,1.0,0.94,0.12,0.01,0.5,0.01,0.97,0.96,0.6,0.47,0.52,0.11,0.11,0.24,0.21,0.19,0.75,0.7,0.77,0.89,0.63,0.51,0.47,0.0,0.0,0.19,0.3,0.73,0.64,0.65,,,,,,,,,,,,,,,,,,0.02,0.39,0.28,,,,,0.0,,0.12
4,42,95,6096,1,0.01,0.55,0.02,0.95,0.09,0.05,0.38,0.38,0.23,0.36,0.02,0.9,0.5,0.72,0.16,0.68,0.44,0.11,0.71,0.46,0.43,0.41,0.28,0.0,0.74,0.51,0.48,0.0,0.06,0.25,0.3,0.33,0.12,0.65,0.67,0.38,0.42,0.46,0.22,0.27,0.2,0.21,0.51,0.91,0.91,0.89,0.85,0.4,0.6,0.0,0.06,0.0,0.03,0.07,0.2,0.27,0.01,0.02,0.04,0.05,0.88,0.05,0.16,0.19,0.59,0.6,0.37,0.89,0.02,0.19,0.5,0.01,0.89,0.87,0.04,0.55,0.73,0.05,0.14,0.31,0.31,0.3,0.4,0.36,0.38,0.38,0.22,0.51,0.21,0.0,0.0,0.11,0.72,0.64,0.61,0.53,,,,,,,,,,,,,,,,,,0.04,0.09,0.02,,,,,0.0,,0.03
5,6,,,1,0.02,0.28,0.06,0.54,1.0,0.25,0.31,0.48,0.27,0.37,0.04,1.0,0.52,0.68,0.2,0.61,0.28,0.15,0.25,0.62,0.72,0.76,0.77,0.28,0.52,0.48,0.6,0.01,0.12,0.13,0.12,0.8,0.1,0.65,0.19,0.77,0.06,0.91,0.49,0.57,0.61,0.58,0.44,0.62,0.69,0.87,0.53,0.3,0.43,0.0,0.11,0.04,0.3,0.35,0.43,0.47,0.5,0.5,0.56,0.57,0.45,0.28,0.25,0.19,0.29,0.53,0.18,0.39,0.26,0.73,0.0,0.02,0.84,0.3,0.16,0.28,0.25,0.02,0.05,0.94,1.0,1.0,0.67,0.63,0.68,0.62,0.47,0.59,0.11,0.0,0.0,0.7,0.42,0.49,0.73,0.64,,,,,,,,,,,,,,,,,,0.01,0.58,0.1,,,,,0.0,,0.14
6,44,7,41500,1,0.01,0.39,0.0,0.98,0.06,0.02,0.3,0.37,0.23,0.6,0.02,0.81,0.42,0.5,0.23,0.68,0.61,0.21,0.54,0.43,0.47,0.44,0.4,0.24,0.86,0.24,0.36,0.01,0.11,0.29,0.41,0.36,0.28,0.54,0.44,0.53,0.33,0.49,0.25,0.34,0.28,0.28,0.42,0.77,0.81,0.79,0.74,0.57,0.62,0.0,0.13,0.01,0.0,0.02,0.02,0.1,0.0,0.01,0.01,0.03,0.73,0.05,0.12,0.13,0.42,0.54,0.24,0.65,0.03,0.46,0.5,0.01,0.89,0.57,0.09,0.49,0.38,0.05,0.05,0.37,0.38,0.39,0.26,0.35,0.42,0.35,0.46,0.44,0.31,0.0,0.0,0.15,0.81,0.77,0.91,0.84,,,,,,,,,,,,,,,,,,0.05,0.08,0.06,,,,,0.0,,0.03
7,6,,,1,0.01,0.74,0.03,0.46,0.2,1.0,0.52,0.55,0.36,0.35,0.0,0.0,0.16,0.44,1.0,0.23,0.53,0.97,0.41,0.15,0.1,0.12,0.08,0.17,0.27,0.18,0.21,0.03,0.64,0.96,0.82,0.12,1.0,0.26,0.43,0.34,0.71,0.18,0.38,0.47,0.59,0.52,0.78,0.45,0.43,0.34,0.34,0.29,0.27,0.02,0.5,0.02,0.5,0.59,0.65,0.59,0.69,0.72,0.71,0.6,0.12,0.93,0.74,0.75,0.8,0.68,0.92,0.39,0.89,0.66,0.0,0.01,0.91,0.46,0.22,0.37,0.6,0.28,0.23,0.15,0.13,0.13,0.21,0.24,0.25,0.24,0.64,0.59,0.28,0.0,0.0,0.59,0.58,0.52,0.79,0.78,,,,,,,,,,,,,,,,,,0.01,0.33,0.0,,,,,0.0,,0.55
8,21,,,1,0.03,0.34,0.2,0.84,0.02,0.0,0.38,0.45,0.28,0.48,0.04,1.0,0.17,0.47,0.36,0.34,0.55,0.48,0.43,0.21,0.23,0.23,0.19,0.1,0.26,0.29,0.22,0.04,0.45,0.52,0.59,0.17,0.55,0.43,0.59,0.36,0.64,0.29,0.62,0.26,0.66,0.67,0.37,0.51,0.55,0.58,0.47,0.65,0.64,0.02,0.29,0.0,0.12,0.09,0.07,0.13,0.0,0.0,0.0,0.0,0.99,0.01,0.12,0.12,0.35,0.38,0.33,0.5,0.1,0.64,0.0,0.04,0.72,0.49,0.05,0.49,0.5,0.57,0.22,0.07,0.07,0.08,0.14,0.17,0.16,0.15,0.38,0.13,0.36,0.01,0.0,0.01,0.78,0.48,0.79,0.75,,,,,,,,,,,,,,,,,,0.04,0.17,0.04,,,,,0.0,,0.53
9,29,,,1,0.01,0.4,0.06,0.87,0.3,0.03,0.9,0.82,0.8,0.39,0.02,1.0,0.54,0.59,0.22,0.86,0.42,0.02,0.31,0.85,0.89,0.94,0.11,0.09,0.33,0.17,0.8,0.0,0.11,0.04,0.03,1.0,0.11,0.44,0.2,1.0,0.02,0.96,0.3,0.85,0.39,0.36,0.31,0.65,0.73,0.78,0.67,0.72,0.71,0.0,0.07,0.01,0.41,0.44,0.52,0.48,0.22,0.21,0.22,0.19,0.85,0.03,0.09,0.06,0.15,0.34,0.05,0.48,0.03,0.58,0.0,0.02,0.72,0.38,0.07,0.47,0.04,0.01,0.0,0.63,0.71,0.79,0.44,0.42,0.47,0.41,0.23,0.27,0.28,0.0,0.0,0.22,0.42,0.34,0.23,0.09,,,,,,,,,,,,,,,,,,0.0,0.47,0.11,,,,,0.0,,0.15
